,0,1,2,3,4,5,6,7,8,9,10
0,-64.09803921568627,,,,,,,,,,
1,-61.0,,,,,,,,,,
2,-61.2,,,,,,,,,,
3,-59.62222222222222,,,,,,,,,,
4,-56.723404255319146,,,,,,,,,,-61.93617021276596
5,-55.926829268292686,,,,,,,,,,-64.61363636363636
6,-55.06382978723404,,,,,,,,,,-62.0188679245283
7,-54.10958904109589,,,,,,,,,,-55.945454545454545
8,-54.072463768115945,,,,,,,,,,-59.34782608695652
9,-53.86274509803921,,,,,,,,,,-68.66666666666667
10,-54.847457627118644,,,,,,,,,,-66.40425531914893
11,-53.885245901639344,,,,,,,,,,-69.0
12,-54.020833333333336,,,,,,,,,,-61.98360655737705
13,-54.97674418604651,,,,,,,,,,-60.645833333333336
14,-55.24,,,,,,,,,,-58.36
15,-55.96551724137931,,,,,,,,,,-55.101694915254235
16,,-58.93333333333333,-58.25,-58.22641509433962,-57.78181818181818,-57.23076923076923,-57.98076923076923,-58.06122448979592,-57.8,-54.81428571428572,-55.08653846153846
17,,,,,,,,,,,-55.90196078431372
18,,,,,,,,,,,-54.276595744680854
